識別情報,団体コード,団体名,施設_名称,概要,施設_電話番号,施設_メールアドレス,施設_URL,施設_住所_表記,施設_緯度,施設_経度,施設_種別,サービス_対象［利用可能日齢］,施設_収容人数［総定員］人数,施設_保育開始時間,施設_保育終了時間,日時備考,設置者,一時預かりの有無,自由記述欄,施設_画像,施設_画像_ライセンス,施設_画像_画像テキスト
1,112275,朝霞市,滝の根保育園,,048-463-5503,,,朝霞市溝沼2丁目10-24,35.803075,139.589604,民間保育所,2ケ月〜5歳児,150,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
2,112275,朝霞市,本町保育園,,048-464-3750,,,朝霞市本町1丁目20-4,35.801529,139.596945,公立保育所,1歳児〜5歳児,90,07:00:00,19:00:00,日曜閉園,,,,,,
3,112275,朝霞市,あさかたんぽぽ保育園（分園）,,048-487-8545,,,朝霞市本町2丁目10-4,35.797932,139.597991,民間保育所,1歳児〜5歳児,30,07:00:00,19:00:00,日曜閉園,,,,,,
4,112275,朝霞市,さわらび保育園,,048-461-5200,,,朝霞市本町1丁目8-26,35.798009,139.593955,民間保育所,2ケ月〜5歳児,40,07:00:00,19:00:00,日曜閉園,,,,,,
5,112275,朝霞市,栄町保育園,,048-465-3811,,,朝霞市栄町1丁目5-43,35.791569,139.600627,公立保育所,1歳児〜5歳児,77,07:00:00,19:00:00,日曜閉園,,,,,,
6,112275,朝霞市,あさかたんぽぽ保育園（本園）,,048-467-5191,,,朝霞市栄町5丁目1-30,35.790018,139.596835,民間保育所,2ヶ月〜5歳児,30,07:00:00,19:00:00,日曜閉園,,,,,,
7,112275,朝霞市,朝霞ひだまりの森保育園,,048-423-4492,,,朝霞市栄町4丁目4-8,35.786629,139.598794,民間保育所,2ヶ月〜5歳児,50,07:00:00,19:00:00,日曜閉園,,,,,,
8,112275,朝霞市,ゆりの木保育園,,048-450-8600,,,朝霞市膝折町1丁目6-29,35.794983,139.584857,民間保育所,2ケ月〜5歳児,45,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
9,112275,朝霞市,いずみばし保育園,,048-487-7223,,,朝霞市大字溝沼863-1,35.802876,139.58352,民間保育所,2ケ月〜5歳児,60,07:00:00,19:00:00,日曜閉園,,,,,,
10,112275,朝霞市,溝沼保育園,,048-463-7165,,,朝霞市溝沼7丁目13-11,35.807822,139.587887,公立保育所,8ケ月〜5歳児,150,07:00:00,19:00:00,日曜閉園,,,,,,
11,112275,朝霞市,さくらんぼ保育室,,048-463-3965,,,朝霞市本町1丁目15-29,35.801236,139.593317,小規模保育事業B型,2ケ月〜2歳児,10,07:00:00,19:00:00,日曜閉園,,,,,,
12,112275,朝霞市,さつき保育園,,048-465-5005,,,朝霞市本町2丁目4-25 1F,35.796234,139.598852,小規模保育事業B型,2ケ月〜2歳児,17,07:00:00,19:00:00,日曜閉園,,,,,,
13,112275,朝霞市,ひざおりしらとり保育室,,048-463-7178,,,朝霞市膝折町4丁目8-43,35.798262,139.581761,小規模保育事業B型,2ケ月〜2歳児,9,07:00:00,19:00:00,日曜閉園,,,,,,
14,112275,朝霞市,メリー★ポピンズkids朝霞ルーム,,048-465-5345,,,朝霞市青葉台1丁目3-15 1F,35.794778,139.596669,民間保育所,2ケ月〜5歳児,50,07:00:00,22:00:00,（日祝）8：00〜20：00,,,,,,
15,112275,朝霞市,保育ルームフェリーチェ朝霞園,,048-461-7747,,,朝霞市本町2丁目21-2 1F,35.799909,139.59821,小規模保育事業B型,2ケ月〜2歳児,18,07:00:00,20:00:00,日曜閉園,,,,,,
16,112275,朝霞市,メリー★ポピンズ朝霞南口ルーム,,048-465-4940,,,朝霞市本町3丁目3-70 １F,35.794098,139.598279,小規模保育事業B型,2ケ月〜2歳児,18,07:00:00,20:00:00,日曜閉園,,,,,,
17,112275,朝霞市,朝霞本町エンゼル保育室,,048-458-3607,,,朝霞市本町1丁目8-7 １F,35.797762,139.593351,小規模保育事業B型,2ケ月〜2歳児,19,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
18,112275,朝霞市,朝霞にじいろ保育園,,048-462-2216,,,朝霞市本町2丁目4-44,35.796803,139.597954,民間保育所,1歳児〜5歳児,50,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
19,112275,朝霞市,つくし保育園,,048-487-8851,,,朝霞市溝沼7丁目9-10,35.808749,139.589995,民間保育所,2ケ月〜5歳児,90,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
20,112275,朝霞市,幸町しらとり保育室,,048-423-6807,,,朝霞市幸町2丁目15-50,35.794885,139.585848,小規模保育事業B型,2ケ月〜2歳児,18,07:00:00,19:00:00,日曜閉園,,,,,,
21,112275,朝霞市,太陽と大地のこども保育園,,048-483-5334,,,朝霞市大字岡44-1,35.814062,139.596567,民間保育所,2ケ月〜5歳児,60,07:00:00,19:00:00,日曜閉園,,,,,,
22,112275,朝霞市,ひまわり保育園,,048-487-8686,,,朝霞市根岸台2丁目2-6,35.804673,139.604603,民間保育所,2ケ月〜5歳児,60,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
23,112275,朝霞市,根岸台保育園,,048-464-8710,,,朝霞市根岸台8丁目2-41,35.799293,139.610425,公立保育所,1歳児〜5歳児,90,07:00:00,19:00:00,日曜閉園,,,,,,
24,112275,朝霞市,仲町どろんこ保育園,,048-450-3001,,,朝霞市仲町2丁目9-48,35.792832,139.603508,民間保育所,2ヶ月〜5歳児,90,07:00:00,20:00:00,日曜閉園,,,,,,
25,112275,朝霞市,仲町保育園,,048-450-7707,,,朝霞市仲町2丁目4-31,35.794967,139.601903,公立保育所,8ケ月〜5歳児,100,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
26,112275,朝霞市,東朝霞保育園,,048-461-6011,,,朝霞市根岸台1丁目5-27,35.802526,139.602178,公立保育所,8ケ月〜5歳児,81,07:00:00,19:00:00,日曜閉園,,,,,,
27,112275,朝霞市,第二あさかたんぽぽ保育園,,048-423-8631,,,朝霞市大字溝沼1336-4,35.811183,139.594342,民間保育所,2ヶ月〜5歳児,90,07:00:00,19:00:00,日曜閉園,,,,,,
28,112275,朝霞市,めぐみ保育室,,048-465-6707,,,朝霞市根岸台6丁目5-9,35.796726,139.603176,小規模保育事業B型,2ケ月〜2歳児,19,07:00:00,20:00:00,日曜閉園,,,,,,
29,112275,朝霞市,しらとり保育室,,048-451-4630,,,朝霞市根岸台6丁目1-17-9,35.79773,139.603274,小規模保育事業B型,2ケ月〜2歳児,15,07:00:00,19:00:00,日曜閉園,,,,,,
30,112275,朝霞市,ちゅうりっぷ園仲町,,048-487-8173,,,朝霞市仲町1丁目6-22,35.801216,139.600187,小規模保育事業B型,2ケ月〜2歳児,19,07:00:00,19:00:00,日曜閉園,,,,,,
31,112275,朝霞市,仲町エンゼル保育室,,048-458-8122,,,朝霞市仲町2丁目1-21 1F 2F,35.796688,139.601867,民間保育所,2ケ月〜2歳児,40,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
32,112275,朝霞市,駅前おれんじベビー保育園,,048-424-5739,,,朝霞市仲町2丁目2-38 101,35.797191,139.601314,民間保育所,2ケ月〜2歳児,20,07:00:00,19:00:00,日曜閉園,,,,,,
33,112275,朝霞市,白百合園,,048-461-8177,,,朝霞市大字根岸257-1,35.81009,139.610328,民間保育所,1歳児〜5歳児,66,07:00:00,19:00:00,日曜閉園,,,,,,
34,112275,朝霞市,おれんじゆめ保育園,,048-424-3738,,,朝霞市根岸台5丁目15-50,35.801128,139.605086,民間保育所,2ケ月〜5歳児,60,07:00:00,19:00:00,日曜閉園,,,,,,
35,112275,朝霞市,保育園元気キッズ朝霞岡園,,048-451-5225,,,朝霞市岡1丁目15-2,35.807707,139.596294,小規模保育事業A型,2ケ月〜2歳児,19,07:00:00,19:00:00,日曜閉園,,,,,,
36,112275,朝霞市,大山保育園,,048-473-6713,,,朝霞市宮戸3丁目10-45,35.828783,139.581279,民間保育所,2ケ月〜5歳児,60,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
37,112275,朝霞市,宮戸保育園,,048-486-5562,,,朝霞市宮戸4丁目6-2,35.825608,139.591835,公立保育所,8ケ月〜5歳児,103,07:00:00,20:00:00,土曜日は19時まで。日曜閉園,,,,,,
38,112275,朝霞市,朝霞しらこばと保育園,,048-456-1100,,,朝霞市田島2丁目4-11,35.814554,139.606507,民間保育所,2ケ月〜5歳児,50,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
39,112275,朝霞市,朝霞どろんこ保育園,,048-474-6137,,,朝霞市大字浜崎字下谷69-1,35.816292,139.600552,民間保育所,2ケ月〜5歳児,90,07:00:00,20:00:00,日曜閉園,,,,,,
40,112275,朝霞市,浜崎保育園,,048-471-0394,,,朝霞市大字浜崎662-1,35.813263,139.591222,公立保育所,1歳児〜5歳児,70,07:00:00,19:00:00,日曜閉園,,,,,,
41,112275,朝霞市,北朝霞保育園（本園）,,048-474-2530,,,朝霞市朝志ケ丘1丁目3-26,35.818226,139.584269,公立保育所,1歳児〜5歳児,106,07:00:00,19:00:00,日曜閉園,,,,,,
42,112275,朝霞市,北朝霞保育園（分園）,,048-486-5774,,,朝霞市朝志ケ丘1丁目5-40,35.819614,139.58242,公立保育所,8ケ月〜0歳児,15,07:00:00,19:00:00,日曜閉園,,,,,,
43,112275,朝霞市,あさしがおかアンジュ保育園,,048-473-8650,,,朝霞市朝志ケ丘3丁目7-47,35.820443,139.582955,民間保育所,2ケ月〜5歳児,60,07:00:00,20:00:00,日曜閉園,,,,,,
44,112275,朝霞市,メリー★ポピンズkids北朝霞ルーム,,048-472-2645,,,朝霞市西原2丁目4-17 1F,35.816833,139.585238,民間保育所,2ケ月〜5歳児,62,07:00:00,22:00:00,（日祝）8：00〜20：00,,,,,,
45,112275,朝霞市,プチアンジュ,,048-458-0702,,,朝霞市西原2丁目14-23 1F,35.818916,139.586539,小規模保育事業B型,2ケ月〜2歳児,19,07:00:00,19:30:00,日曜閉園,,,,,,
46,112275,朝霞市,北原保育園,,048-485-1197,,,朝霞市北原2丁目10-25,35.821755,139.587242,民間保育所,2ケ月〜5歳児,60,07:00:00,19:00:00,日曜閉園,,,,,,
47,112275,朝霞市,三原どろんこ保育園,,048-486-7470,,,朝霞市三原3丁目23-2,35.818078,139.579818,民間保育所,2ヶ月〜5歳児,90,07:00:00,20:00:00,日曜閉園,,,,,,
48,112275,朝霞市,朝霞ゆりかご保育園,,048-466-1205,,,朝霞市西弁財1丁目1-2,35.813347,139.583289,民間保育所,2ケ月〜5歳児,48,07:00:00,19:00:00,日曜閉園,,,,,,
49,112275,朝霞市,さくら保育園,,048-469-7061,,,朝霞市大字溝沼435-1,35.810959,139.588436,公立保育所,8ヶ月〜5歳児,100,07:00:00,19:00:00,日曜閉園,,,,,,
50,112275,朝霞市,泉水保育園,,048-465-9625,,,朝霞市泉水2丁目12-11,35.804972,139.578356,公立保育所,1歳児〜5歳児,74,07:00:00,19:00:00,日曜閉園,,,,,,
51,112275,朝霞市,エルアンジュ,,048-486-6463,,,朝霞市西弁財1丁目10-25 101,35.81446,139.585363,小規模保育事業B型,2ケ月〜2歳児,18,07:00:00,20:00:00,日曜閉園,,,,,,
52,112275,朝霞市,メリー★ポピンズ朝霞台ルーム,,048-487-4108,,,朝霞市東弁財1丁目4-7 1F,35.814037,139.587057,民間保育所,2ケ月〜2歳児,32,07:00:00,20:00:00,日曜閉園,,,,,,
53,112275,朝霞市,朝霞台エンゼル保育室,,048-458-0533,,,朝霞市東弁財1丁目3-17 1F A号,35.813877,139.586746,小規模保育事業B型,2ケ月〜2歳児,19,07:00:00,19:30:00,土曜日は19時まで。日曜閉園,,,,,,
54,112275,朝霞市,朝霞幼稚園,,048-463-7915,,,朝霞市幸町3丁目5-16,35.789216,139.591396,幼稚園,,,-,-,,,,,,,
55,112275,朝霞市,菩提樹の森幼稚園,,048-461-0240,,,朝霞市膝折町1丁目16-17,35.792893,139.585174,幼稚園,,,-,-,,,,,,,
56,112275,朝霞市,さいか幼稚園,,048-461-6039,,,朝霞市西弁財1丁目6-17,35.815068,139.583124,幼稚園,,,-,-,,,,,,,
57,112275,朝霞市,あさか台幼稚園,,048-461-6753,,,朝霞市根岸台7丁目2-6,35.799612,139.606247,幼稚園,,,-,-,,,,,,,
58,112275,朝霞市,根岸幼稚園,,048-461-7112,,,朝霞市根岸台4丁目8-38,35.803988,139.609314,幼稚園,,,-,-,,,,,,,
59,112275,朝霞市,朝霞花の木幼稚園,,048-456-0055,,,朝霞市田島1丁目12-1,35.814199,139.604348,幼稚園,,,-,-,,,,,,,
60,112275,朝霞市,朝霞なかよし幼稚園,,048-472-5739,,,朝霞市北原2丁目7-16,35.820724,139.58806,幼稚園,,,-,-,,,,,,,
61,112275,朝霞市,朝霞たちばな幼稚園,,048-473-8787,,,朝霞市宮戸3丁目7-1,35.827688,139.584238,幼稚園,,,-,-,,,,,,,
